MAHALLE_KOY_NO,MAHALLE_KOY_ADI
1096,BA–LAR‹ST‹
1097,›HSAN›YE
1098,KIRKG÷Z
1099,MALAZG›RT
1100,SEL«UKLU
1101,H›SAR
1102,TAﬁA–IL
1103,G÷K«EYAYLA
1104,ETHEM KELEK«›
1105,BUCAK
1106,FAT›H
1107,MEVLANA
1108,ﬁEYH ﬁAM›L
1109,YUNUS EMRE
1110,MALAZG›RT
1111,YAVUZSEL›M
1112,«AYBAﬁI
1113,OKUL
1114,K÷PR‹BAﬁI
1115,YUKARI
1116,BAH«EL›EVLER
1117,«AYBAﬁI
1118,ﬁEH›R÷N‹
1119,ULUCAM›
1120,‹SK‹DAR
1121,AKTAﬁ
1122,AﬁA–I
1123,AL››HSANPAﬁA
1124,DEM›RA–A«
1125,K÷PR‹BAﬁI
1126,ORTA
1127,TEKKE
1128,AL›KALEL›
1129,BAH«EL›EVLER
1130,DUMLUPINAR
1131,›STASYON
1132,YAKA
1133,CED›T
1134,YEﬁ›LEVLER MAHALLES›
1135,ELB›Z MAHALLES›
1136,ﬁ›R›NEVLER
1137,VAKIF
1138,BA–LAR
1139,SEKA
1140,AﬁA–I
1141,YUKARI
1142,AFYON
1143,BEﬁEVLER
1144,KARABULUT
1145,ORTA
1146,YUKARI
1147,YEN›MAHALLE
1148,ZAFER
1149,BUCAK
1150,KARADEDE
1151,IﬁIK
1152,SIRAKAPI
1153,YAVUZ SEL›M
1154,G÷LC‹K
1155,TERMALKENT
1156,CUMHUR›YET
1157,ATAT‹RK
1158,FAT›H
1159,›ST›KLAL
1160,YEﬁ›LYURT
1161,ESENTEPE
1162,«AMLIK
1163,BARBAROS
1164,KURTULUﬁ
1165,YEN›YOL
1166,CAM››KEB›R
1167,H‹RR›YET
1168,›STASYON
1169,KONAK
1170,PINARBAﬁI
1171,ATAT‹RK
1172,‹«LERCE
1173,ADL›YE
1174,›TFA›YE
1175,ALTMIﬁEVLER
1176,YEN›
1177,PANCAR
1178,SU«IKAN
1179,GAZ› MEHMET «AVUﬁ
1180,PAZAR
1181,SANTRAL
1182,STADYUM
1183,EMN›YET
1184,ILICA
1185,SANAY›
1186,D÷RTYOL
1187,›NC›RL›
1188,TOPTEPE
1189,OTOGAR
1190,KORUBAﬁI
1191,BA–LAR
1192,CUMHUR›YET
1193,FAT›H
1194,MERKEZ
1195,›ST›KLAL
1196,÷RNEK
1197,CUMHUR›YET
1198,H‹RR›YET
1199,YEN›
1200,OCAKLI
1201,ALTINH›SAR
1202,YEﬁ›LYURT
1203,«AMLICA
1204,FAT›H
1205,CUMHUR›YET
1206,«A–LAYAN
1207,ALASAKALLI
1208,SOFULU
1209,DOMURLU
1210,H›SARK÷Y
1211,KARAKUYU
1212,›NC›K
1213,AZ›Z›YE
1214,ADA«AL
1215,EM›RBABA
1216,«›LL›
1217,ESK› KA«ERL›
1218,MENDERES
